Date,Price,Open,High,Low,Vol.,Change %
2016-01-13,0.00505,0.00505,0.00505,0.00505,200.0,0.0
2016-01-14,0.00479,0.00505,0.00505,0.00401,870.0,-5.15
2016-01-15,0.00505,0.00479,0.00505,0.00479,23970.0,5.43
2016-01-16,0.00489,0.00513,0.00513,0.00465,3100.0,-3.13
2016-01-17,0.00492,0.00489,0.00492,0.00489,640.0,0.51
2016-01-18,0.00511,0.00492,0.00543,0.00492,110.0,3.93
2016-01-19,0.00525,0.00511,0.00528,0.00511,960.0,2.64
2016-01-20,0.00543,0.00525,0.00543,0.00525,17000.0,3.58
2016-01-21,0.00524,0.00543,0.00562,0.00524,4000.0,-3.53
2016-01-22,0.00523,0.00524,0.00524,0.00499,2810.0,-0.19
2016-01-23,0.00512,0.00523,0.00523,0.00512,13450.0,-2.12
2016-01-24,0.00512,0.00512,0.0052,0.00499,6950.0,0.0
2016-01-25,0.0051,0.00512,0.00512,0.0051,15250.0,-0.43
2016-01-26,0.00565,0.0051,0.00565,0.005,27470.0,10.84
2016-01-27,0.00651,0.00565,0.00695,0.00565,147090.0,15.18
2016-01-28,0.0058,0.00651,0.00685,0.00577,670.0,-11.0
2016-01-29,0.00692,0.0058,0.00785,0.0058,5030.0,19.41
2016-01-30,0.00633,0.00692,0.00785,0.0062,20520.0,-8.53
2016-01-31,0.00615,0.00633,0.0066,0.00578,18270.0,-2.78
2016-02-01,0.0067,0.00615,0.0067,0.0053,5830.0,8.82
2016-02-02,0.00699,0.0067,0.00699,0.00647,290.0,4.36
2016-02-03,0.00662,0.00699,0.00699,0.00662,260.0,-5.24
2016-02-04,0.00663,0.00662,0.00697,0.00658,50.0,0.15
2016-02-05,0.0079,0.00663,0.0079,0.00659,790.0,19.1
2016-02-06,0.008,0.0079,0.008,0.0079,6980.0,1.27
2016-02-07,0.00764,0.008,0.00909,0.00764,27910.0,-4.45
2016-02-08,0.00812,0.00812,0.00812,0.00812,82610.0,6.25
2016-02-09,0.00736,0.00812,0.1,0.00736,23420.0,-9.37
2016-02-10,0.00739,0.00736,0.00819,0.00736,603980.0,0.37
2016-02-11,0.00819,0.00739,0.00819,0.00736,161860.0,10.87
2016-02-12,0.00794,0.00819,0.0082,0.00639,115060.0,-3.06
2016-02-13,0.00844,0.00794,0.00845,0.00766,61540.0,6.3
2016-02-14,0.00821,0.00844,0.00899,0.0082,145820.0,-2.73
2016-02-15,0.00835,0.00821,0.0088,0.00821,46130.0,1.71
2016-02-16,0.00811,0.00835,0.00875,0.00811,65430.00000000001,-2.87
2016-02-17,0.00746,0.00811,0.00864,0.00733,374370.0,-8.06
2016-02-18,0.00844,0.00746,0.00844,0.00742,391390.0,13.2
2016-02-19,0.00848,0.00844,0.00848,0.00773,14310.0,0.46
2016-02-20,0.0079,0.00848,0.00848,0.0079,840.0,-6.88
2016-02-21,0.00831,0.0079,0.0084,0.0079,59460.0,5.27
2016-02-22,0.00831,0.00831,0.00831,0.00765,12510.0,0.0
2016-02-23,0.00815,0.00831,0.00831,0.00815,1000.0,-1.93
2016-02-24,0.00785,0.00815,0.00815,0.00785,3800.0,-3.68
2016-02-25,0.00823,0.00785,0.00823,0.00755,17140.0,4.89
2016-02-26,0.00823,0.00823,0.00823,0.00798,25590.0,-0.11
2016-02-27,0.0078,0.00823,0.00823,0.0078,13210.0,-5.17
2016-02-28,0.00816,0.0078,0.00816,0.00752,100.0,4.55
2016-02-29,0.0081,0.00816,0.00816,0.0076,62320.0,-0.67
2016-03-01,0.00828,0.0081,0.00828,0.0078,172650.0,2.2
2016-03-02,0.00809,0.00828,0.00828,0.00783,18800.0,-2.22
2016-03-03,0.0079,0.00809,0.00822,0.00782,351010.0,-2.37
2016-03-04,0.00794,0.0079,0.00846,0.0079,79250.0,0.46
2016-03-05,0.00734,0.00794,0.00845,0.00734,38570.0,-7.51
2016-03-06,0.00755,0.00734,0.00809,0.00716,389960.0,2.83
2016-03-07,0.00767,0.00755,0.00794,0.00755,198770.0,1.62
2016-03-08,0.0078,0.00767,0.00796,0.00764,34480.0,1.67
2016-03-09,0.0081,0.0078,0.00848,0.00765,27050.0,3.85
2016-03-10,0.0082,0.0081,0.00863,0.008,59130.0,1.25
2016-03-11,0.00922,0.0082,0.00969,0.0082,25820.0,12.4
2016-03-12,0.00814,0.00922,0.00922,0.0081,78230.0,-11.69
2016-03-13,0.00818,0.00814,0.00889,0.0081,620.0,0.52
2016-03-14,0.0083,0.00818,0.00887,0.0081,19310.0,1.44
2016-03-15,0.00787,0.0083,0.00838,0.0072,458270.0,-5.18
2016-03-16,0.00819,0.00787,0.00836,0.00787,20850.0,4.1
2016-03-17,0.0081,0.00819,0.00842,0.0079,42790.0,-1.14
2016-03-18,0.00828,0.0081,0.00842,0.0079,1230.0,2.25
2016-03-19,0.00782,0.00828,0.00828,0.00782,17380.0,-5.58
2016-03-20,0.00778,0.00782,0.00813,0.00778,138880.0,-0.51
2016-03-21,0.00792,0.00778,0.00813,0.00778,308660.0,1.8
2016-03-22,0.00792,0.00792,0.00813,0.0079,77870.0,0.0
2016-03-23,0.00838,0.00792,0.00851,0.00792,22390.0,5.89
2016-03-24,0.00842,0.00838,0.00845,0.00807,8550.0,0.48
2016-03-25,0.00821,0.00842,0.00842,0.008,4800.0,-2.48
2016-03-26,0.00813,0.00821,0.00821,0.008,1260.0,-1.02
2016-03-27,0.00786,0.00813,0.00813,0.00786,80990.0,-3.26
2016-03-28,0.00733,0.00786,0.00812,0.00715,240870.0,-6.79
2016-03-29,0.0075,0.00733,0.00785,0.0072,41440.0,2.33
2016-03-30,0.0071,0.0075,0.00785,0.0069,80260.0,-5.27
2016-03-31,0.0074,0.00736,0.00758,0.00736,60500.0,4.08
2016-04-01,0.0075,0.00731,0.0075,0.00707,3940.0,1.42
2016-04-02,0.00757,0.0075,0.00757,0.00722,295850.0,0.93
2016-04-03,0.00748,0.00757,0.00759,0.00735,134030.0,-1.22
2016-04-04,0.0074,0.00748,0.00759,0.0074,24150.0,-1.04
2016-04-05,0.0073,0.0074,0.00747,0.0073,29200.0,-1.34
2016-04-06,0.0073,0.0073,0.0074,0.00715,34960.0,0.0
2016-04-07,0.00683,0.0073,0.0073,0.00671,92920.0,-6.52
2016-04-08,0.00654,0.00683,0.00687,0.00654,1450.0,-4.2
2016-04-09,0.00622,0.00654,0.00686,0.006,87860.0,-4.88
2016-04-10,0.0061,0.00622,0.00625,0.00568,66690.0,-1.96
2016-04-11,0.00623,0.0061,0.00649,0.00586,10160.0,2.13
2016-04-12,0.00599,0.00623,0.00637,0.0057,280730.0,-3.77
2016-04-13,0.00594,0.00599,0.00599,0.00557,6530.0,-0.87
2016-04-14,0.00637,0.00594,0.00637,0.00557,27460.0,7.13
2016-04-15,0.00654,0.00637,0.00654,0.00609,2470.0,2.78
2016-04-16,0.00655,0.00654,0.00655,0.0065,4640.0,0.0
2016-04-17,0.00663,0.00655,0.00663,0.00618,11840.0,1.31
2016-04-18,0.00671,0.00663,0.0072,0.00644,22210.0,1.15
2016-04-19,0.00704,0.00671,0.00721,0.00671,11500.0,4.87
2016-04-20,0.00695,0.00704,0.00756,0.00687,127110.0,-1.24
2016-04-21,0.0073,0.00695,0.00776,0.00695,9860.0,5.02
2016-04-22,0.00736,0.0073,0.00749,0.00693,4390.0,0.78
2016-04-23,0.00736,0.00736,0.00747,0.00736,4580.0,0.0
2016-04-24,0.00722,0.00736,0.00747,0.00704,4550.0,-1.79
2016-04-25,0.00727,0.00722,0.00743,0.0072,10910.0,0.68
2016-04-26,0.00693,0.00727,0.00727,0.00693,2260.0,-4.73
2016-04-27,0.00661,0.00693,0.007,0.00661,26270.0,-4.56
2016-04-28,0.00673,0.00661,0.00673,0.00642,10120.0,1.83
2016-04-29,0.00686,0.00673,0.00686,0.00668,710.0,1.83
2016-04-30,0.00688,0.00686,0.00688,0.00658,50.0,0.34
2016-05-01,0.00658,0.00688,0.00688,0.00658,10.0,-4.33
2016-05-02,0.00669,0.00658,0.00672,0.00647,225970.0,1.56
2016-05-03,0.00646,0.00669,0.00669,0.00646,730.0,-3.45
2016-05-04,0.00626,0.00646,0.00659,0.00616,164660.0,-2.99
2016-05-05,0.00612,0.00626,0.00626,0.00611,76410.0,-2.33
2016-05-06,0.0063,0.00612,0.00653,0.00612,173460.0,3.04
2016-05-07,0.00634,0.0063,0.00653,0.0063,3590.0,0.67
2016-05-08,0.0063,0.00634,0.00652,0.0063,2660.0,-0.65
2016-05-09,0.0064,0.0063,0.00641,0.0063,2240.0,1.54
2016-05-10,0.0063,0.0064,0.0064,0.00621,2950.0,-1.64
2016-05-11,0.00609,0.0063,0.0063,0.00609,9860.0,-3.27
2016-05-12,0.00612,0.00609,0.00623,0.00604,59500.0,0.59
2016-05-13,0.0061,0.00612,0.0062,0.006,744420.0,-0.39
2016-05-14,0.00605,0.00591,0.00605,0.00571,25270.0,-0.85
2016-05-15,0.00609,0.00605,0.00609,0.00582,3430.0,0.69
2016-05-16,0.00609,0.00609,0.00609,0.00609,1740.0,0.0
2016-05-17,0.00599,0.00609,0.0061,0.0058,11620.0,-1.64
2016-05-18,0.00576,0.00599,0.00609,0.00576,25240.0,-3.79
2016-05-19,0.00618,0.00576,0.00619,0.00576,709610.0,7.3
2016-05-20,0.0061,0.00618,0.00619,0.00575,158730.0,-1.46
2016-05-21,0.00595,0.0061,0.0061,0.00572,1770.0,-2.38
2016-05-22,0.00594,0.00595,0.00595,0.0057,230570.0,-0.17
2016-05-23,0.00575,0.00594,0.00595,0.00568,58460.0,-3.18
2016-05-24,0.0058,0.00575,0.00594,0.00575,18680.0,0.85
2016-05-25,0.00555,0.0058,0.0059,0.00555,48690.0,-4.31
2016-05-26,0.0057,0.00555,0.0057,0.00543,319420.0,2.7
2016-05-27,0.00549,0.0057,0.0058,0.00549,12970.0,-3.68
2016-05-28,0.00485,0.00549,0.00559,0.00485,89330.0,-11.6
2016-05-29,0.00561,0.00485,0.0062,0.00485,90320.0,15.66
2016-05-30,0.0058,0.00561,0.0058,0.00541,954300.0,3.31
2016-05-31,0.00557,0.0058,0.0058,0.00557,275140.0,-3.95
2016-06-01,0.00579,0.00557,0.00579,0.0055,32980.0,3.95
2016-06-02,0.00577,0.00579,0.00582,0.00562,135630.0,-0.28
2016-06-03,0.00585,0.00577,0.00586,0.00565,69190.0,1.3
2016-06-04,0.00589,0.00585,0.00594,0.0057,89570.0,0.79
2016-06-05,0.0058,0.00589,0.00589,0.00551,116730.0,-1.63
2016-06-06,0.0059,0.0058,0.0059,0.0056,124820.0,1.71
2016-06-07,0.00578,0.0059,0.0059,0.0056,1860000.0,-2.0
2016-06-08,0.00574,0.00578,0.0058,0.00557,1110000.0,-0.73
2016-06-09,0.00567,0.00574,0.00579,0.00567,7260.0,-1.15
2016-06-10,0.00569,0.00567,0.00573,0.00561,51660.0,0.32
2016-06-11,0.00569,0.00574,0.00578,0.00569,14840.0,0.0
2016-06-12,0.0056,0.00569,0.00578,0.00543,997520.0,-1.6
2016-06-13,0.00581,0.0056,0.00581,0.00547,1490000.0,3.84
2016-06-14,0.0073,0.00581,0.02,0.00557,9080000.0,25.56
2016-06-15,0.0066,0.0073,0.008,0.0065,864580.0,-9.59
2016-06-16,0.00659,0.0066,0.00694,0.0063,1970000.0,-0.2
2016-06-17,0.00665,0.00659,0.007,0.00625,4450000.0,0.94
2016-06-18,0.00651,0.00665,0.00685,0.00622,724100.0,-2.14
2016-06-19,0.00724,0.00651,0.0083,0.00635,794090.0,11.23
2016-06-20,0.00649,0.00724,0.00724,0.0064,1230000.0,-10.33
2016-06-21,0.0058,0.00649,0.00659,0.0058,742170.0,-10.57
2016-06-22,0.0068,0.0058,0.00999,0.00578,10320000.0,17.16
2016-06-23,0.0063,0.0068,0.00714,0.00609,5560000.0,-7.43
2016-06-24,0.00665,0.0063,0.00672,0.00625,2460000.0,5.64
2016-06-25,0.00648,0.00665,0.00665,0.00631,125280.0,-2.57
2016-06-26,0.0065,0.00648,0.00658,0.0063,1600000.0,0.32
2016-06-27,0.0063,0.0065,0.00665,0.0063,987430.0,-3.08
2016-06-28,0.00725,0.0063,0.0075,0.00626,2150000.0,15.02
2016-06-29,0.00696,0.00725,0.00725,0.00638,405210.0,-3.99
2016-06-30,0.0066,0.00696,0.00696,0.0065,2270000.0,-5.13
2016-07-01,0.00678,0.0066,0.0072,0.00651,1760000.0,2.73
2016-07-02,0.00661,0.00678,0.00714,0.00648,168600.0,-2.51
2016-07-03,0.00679,0.00661,0.00704,0.00655,77750.0,2.71
2016-07-04,0.00655,0.00679,0.00692,0.00611,1250000.0,-3.46
2016-07-05,0.00643,0.00655,0.00682,0.00643,909460.0,-1.86
2016-07-06,0.00652,0.00643,0.00677,0.00632,827110.0,1.37
2016-07-07,0.00661,0.00652,0.00661,0.00612,968900.0,1.38
2016-07-08,0.00671,0.00661,0.00671,0.0062,283100.0,1.45
2016-07-09,0.00655,0.00671,0.00671,0.00616,128289.99999999999,-2.34
2016-07-10,0.00644,0.00655,0.00658,0.00625,994710.0,-1.66
2016-07-11,0.00624,0.00644,0.00655,0.00624,8480.0,-3.11
2016-07-12,0.0065,0.00624,0.00655,0.0062,1050000.0,4.1
2016-07-13,0.0065,0.0065,0.0065,0.00625,10940.0,0.0
2016-07-14,0.00646,0.0065,0.0065,0.00631,33850.0,-0.65
2016-07-15,0.00653,0.00646,0.00654,0.00636,371930.0,1.13
2016-07-16,0.00671,0.00653,0.00683,0.00651,427360.0,2.69
2016-07-17,0.00673,0.00671,0.00688,0.00648,255140.0,0.37
2016-07-18,0.0065,0.00673,0.00673,0.0065,15730.0,-3.45
2016-07-19,0.00644,0.0065,0.00661,0.00642,1120000.0,-0.88
2016-07-20,0.0064,0.00644,0.00654,0.00628,352740.0,-0.67
2016-07-21,0.00649,0.0064,0.00649,0.0064,377790.0,1.44
2016-07-22,0.00624,0.00649,0.00653,0.00622,377800.0,-3.85
2016-07-23,0.0064,0.00624,0.00642,0.0062,12430.0,2.53
2016-07-24,0.00629,0.0064,0.0065,0.0061,450270.0,-1.78
2016-07-25,0.00624,0.00629,0.0063,0.00605,90140.0,-0.68
2016-07-26,0.0058,0.00624,0.0065,0.00575,609230.0,-7.18
2016-07-27,0.00595,0.0058,0.00611,0.00578,189150.0,2.71
2016-07-28,0.00601,0.00595,0.00615,0.0058,552960.0,0.94
2016-07-29,0.0062,0.00601,0.0062,0.0058,216010.0,3.2
2016-07-30,0.0062,0.0062,0.0062,0.00591,14510.0,0.0
2016-07-31,0.006,0.0062,0.0062,0.0058,66570.0,-3.23
2016-08-01,0.00574,0.006,0.006,0.00574,150630.0,-4.3
